korean,english
힘들다,to be tired
동생,younger sibling
편지,letter
기분,feeling
괜찮다,to be fine
약,medicine
이태원,Itaewon
놀다,to hang out
수영장,pool
이렇게,like this
선물,present
받다,to receive
급,level
술,alcohol
어제저녁,last evening
걱정,worry
도와주다,to help
주다,to give
죄송하다,to be sorry
시작하다,to start
일,work
계속,continuously
여행 작가,travel writer
한복,Hanbok
전통,tradition
팬,fan
운동장,athletic ﬁeld
이번,this (time)
콘서트,concert
뉴욕,New York
항상,always
근처,nearby
번,number
서울역,Seoul Station
어떻게,how
장소,location
신촌,Sinchon
시청,City Hall
여의도,Yeouido
고속터미널,Express Bus Terminal
잠실,Jamsil
호선,line number
층,floor
비행기표,airplane ticket
알아보다,to look into
극장,(movie) theater
다,all
문화,culture
축제,festival
길,street
얼마나,how long
하지만,but
멕시코,Mexico
시험공부,studying for a test
준비하다,to prepare
여름옷,summer clothes
전,before
알다,to know
물어보다,to ask
새,new
모르다,to don’t know
싸우다,to ﬁght
대학원,grad(udate) school
두번,twice
설날,Lunar New Year’s Day
기간,period
신발,shoe(s)
조용하다,to be quiet
발음,pronunciation
어떤,what
슬프다,to be sad
잠깐만,just a moment
겨울옷,winter clothes
결혼식,wedding ceremony
살다,to live
팔다,to sell
열다,to open
곳,place
빌리다,to borrow
외국어,foreign language
거울,mirror
여동생,younger sister
사랑하다,to love
중,among
군인,soldier
화장품,makeup
드리다,to give (honorific expression)
같다,to be the same
인사하다,问候
꽃집,花店
인터넷,网络
음악,音乐
걸어서 가다,走着去
남동생,弟弟
단어,word
질문,question
칠판,blackboard / whiteboard
반지,ring
닫다,to close
눈사람,snowman
한라산,Hallasan Mountain
