korean,english,chapter,chapterName
한국,Korea,1,Greetings
미국,United States of America,1,Greetings
중국,China,1,Greetings
일본,Japan,1,Greetings
프랑스,France,1,Greetings
러시아,Russia,1,Greetings
브라질,Brazil,1,Greetings
말레이시아,Malaysia,1,Greetings
몽골,Mongolia,1,Greetings
베트남,Vietnam,1,Greetings
나라,country,1,Greetings
한국 사람,Korean,1,Greetings
미국 사람,American,1,Greetings
중국 사람,Chinese,1,Greetings
일본 사람,Japanese,1,Greetings
프랑스 사람,French,1,Greetings
러시아 사람,Russian,1,Greetings
브라질 사람,Brazilian,1,Greetings
말레이시아 사람,Malaysian,1,Greetings
몽골 사람,Mongolian,1,Greetings
베트남 사람,Vietnamese,1,Greetings
사람,person,1,Greetings
저,I (formal),1,Greetings
안녕하세요,Hello,1,Greetings
씨,Mr. / Mrs. / Ms. / Miss,1,Greetings
(만나서) 반가워요,Nice to meet you,1,Greetings
어느,which,1,Greetings
네,Yes,1,Greetings
인도,India,1,Greetings
친구,friend / classmate,1,Greetings
호주,Australia,1,Greetings
태국,Thailand,1,Greetings
선생님,teacher,1,Greetings
학생,student,1,Greetings
기자,reporter,1,Greetings
의사,doctor,1,Greetings
배우,actor / actress,1,Greetings
대학생,college student,1,Greetings
회사원,office worker,1,Greetings
가수,singer,1,Greetings
프로그래머,programmer,1,Greetings
요리사,chef,1,Greetings
운동선수,athlete,1,Greetings
아니요,No,1,Greetings
대학원생,grad(uate) student,1,Greetings
제,my (formal),1,Greetings
룸메이트,roommate,1,Greetings
이름,name,1,Greetings
뭐,what,1,Greetings
직업,occupation,1,Greetings
메일,email,1,Greetings
주소,address,1,Greetings
여러분,everyone,1,Greetings
교실,classroom,2,Classroom & Room
창문,window,2,Classroom & Room
컴퓨터,computer,2,Classroom & Room
책상,desk,2,Classroom & Room
시계,clock,2,Classroom & Room
의자,chair,2,Classroom & Room
가방,bag,2,Classroom & Room
공책,notebook,2,Classroom & Room
휴대폰,cell phone,2,Classroom & Room
책,book,2,Classroom & Room
지우개,eraser,2,Classroom & Room
볼펜,ballpoint pen,2,Classroom & Room
필통,pencil case,2,Classroom & Room
연필,pencil,2,Classroom & Room
한국어,Korean (language),2,Classroom & Room
누구,who,2,Classroom & Room
한국어로,in Korean,2,Classroom & Room
중국어로,in Chinese,2,Classroom & Room
그럼,then,2,Classroom & Room
집,house,2,Classroom & Room
화장실,bathroom,2,Classroom & Room
부엌,kitchen,2,Classroom & Room
방,room,2,Classroom & Room
침대,bed,2,Classroom & Room
노트북,laptop,2,Classroom & Room
세탁기,washing machine,2,Classroom & Room
냉장고,refrigerator,2,Classroom & Room
텔레비전,television (TV),2,Classroom & Room
에어컨,air conditioner (AC),2,Classroom & Room
서울대학교,Seoul National University,2,Classroom & Room
학교,school,2,Classroom & Room
기숙사,dorm(itory),2,Classroom & Room
옷걸이,hanger,2,Classroom & Room
여기,here,2,Classroom & Room
우리,our,2,Classroom & Room
저기,there,2,Classroom & Room
소파,sofa,2,Classroom & Room
거울,mirror,2,Classroom & Room
와이파이,Wi-Fi,2,Classroom & Room
음식,food,3,Store
빵,bread,3,Store
샌드위치,sandwich,3,Store
과일,fruit,3,Store
사과,apple,3,Store
딸기,strawberry,3,Store
수박,watermelon,3,Store
음료수,drink,3,Store
물,water,3,Store
우유,milk,3,Store
커피,coffee,3,Store
차,tea,3,Store
주스,juice,3,Store
어서 오세요,Welcome,3,Store
케이크,cake,3,Store
초콜릿,chocolate,3,Store
빙수,shaved ice,3,Store
녹차,green tea,3,Store
아이스크림,ice cream,3,Store
오렌지,orange,3,Store
여기 있어요,Here you go,3,Store
키위,kiwi,3,Store
햄,ham,3,Store
가게,store,3,Store
망고,mango,3,Store
어디,where,3,Store
문구점,stationery store,3,Store
여기,here,3,Store
저기,(over) there,3,Store
거기,there,3,Store
앞,front,3,Store
뒤,back,3,Store
옆,next,3,Store
위,top,3,Store
아래(밑),bottom,3,Store
안,inside,3,Store
밖,outside,3,Store
카페,cafe,3,Store
편의점,convenience store,3,Store
강남,Gangnam,3,Store
바나나,banana,3,Store
안경,(eye)glasses,3,Store
보다,to see / look,4,Everyday Life
좋아하다,to like,4,Everyday Life
사다,to buy,4,Everyday Life
아르바이트하다,to work part-time,4,Everyday Life
전화하다,to call,4,Everyday Life
먹다,to eat,4,Everyday Life
만나다,to meet,4,Everyday Life
읽다,to read,4,Everyday Life
일하다,to work,4,Everyday Life
마시다,to drink,4,Everyday Life
공부하다,to study,4,Everyday Life
배우다,to learn,4,Everyday Life
운동하다,to exercise,4,Everyday Life
지금,now,4,Everyday Life
자다,to sleep,4,Everyday Life
하고,with,4,Everyday Life
빵집,bakery,4,Everyday Life
숙제하다,to do homework,4,Everyday Life
같이,together,4,Everyday Life
요리,cooking,4,Everyday Life
오늘,today,4,Everyday Life
학교,school,4,Everyday Life
병원,hospital,4,Everyday Life
약국,pharmacy,4,Everyday Life
도서관,library,4,Everyday Life
식당,restaurant,4,Everyday Life
우체국,post office,4,Everyday Life
영화관,movie theater,4,Everyday Life
서점,bookstore,4,Everyday Life
공원,park,4,Everyday Life
백화점,department store,4,Everyday Life
회사,company,4,Everyday Life
은행,bank,4,Everyday Life
스포츠 센터,sports center,4,Everyday Life
시장,market,4,Everyday Life
가다,to go,4,Everyday Life
