korean,english,chapter,chapterName
쓰다,to write,9,Hospital
끄다,to turn off,9,Hospital
아프다,to be hurt / sick,9,Hospital
바쁘다,to be busy,9,Hospital
예쁘다,to be pretty,9,Hospital
나쁘다,to be bad,9,Hospital
배고프다,to be hungry,9,Hospital
얼굴,face,9,Hospital
눈,eye,9,Hospital
코,nose,9,Hospital
입,mouth,9,Hospital
귀,ear,9,Hospital
몸,body,9,Hospital
머리,head,9,Hospital
목,neck,9,Hospital
가슴,chest,9,Hospital
배,stomach,9,Hospital
허리,lower back,9,Hospital
다리,leg,9,Hospital
손,hand,9,Hospital
발,foot,9,Hospital
팔,arm,9,Hospital
어깨,shoulder,9,Hospital
무릎,knee,9,Hospital
미안하다,to be sorry,9,Hospital
어제저녁,yesterday evening,9,Hospital
아까,a minute (moment) ago,9,Hospital
왜,why,9,Hospital
아직,not yet,9,Hospital
감기에 걸리다,to catch a cold,9,Hospital
기침을 하다,to cough,9,Hospital
열이 나다,to have a fever,9,Hospital
콧물이 나오다,to have a runny nose,9,Hospital
목이 아프다,to have a sore throat,9,Hospital
건강에 좋다,to be good for health,9,Hospital
건강에 나쁘다,to be bad for health,9,Hospital
손을 씻다,to wash one’s hands,9,Hospital
푹 쉬다,to rest up,9,Hospital
담배를 피우다,to smoke,9,Hospital
다치다,to be injured,9,Hospital
처음,first,9,Hospital
이름표,name tag,9,Hospital
더,more,9,Hospital
꼭,be sure to,9,Hospital
같다,to be the same,9,Hospital
전통,tradition,9,Hospital
주다,to give,9,Hospital
약,medicine,9,Hospital
도와주다,to help,9,Hospital
고맙다,to be thankful,9,Hospital
회사에 다니다,to work at a company,10,Korean Life
메일을 보내다,to send an email,10,Korean Life
메일을 받다,to receive an email,10,Korean Life
잘하다,to be good at,10,Korean Life
못하다,to be bad at,10,Korean Life
계획,plan,10,Korean Life
오전,am,10,Korean Life
오후,pm,10,Korean Life
열심히,diligently,10,Korean Life
잘,well,10,Korean Life
제일,most,10,Korean Life
대학원,grad(uate) school,10,Korean Life
하루,day,10,Korean Life
연습,practice,10,Korean Life
시간,hour(s),10,Korean Life
만들다,to make,10,Korean Life
피아노를 치다,to play the piano,10,Korean Life
기타를 치다,to play the guitar,10,Korean Life
자전거를 타다,to ride a bike,10,Korean Life
그림을 그리다,to paint a painting,10,Korean Life
작년,last year,10,Korean Life
올해,this year,10,Korean Life
내년,next year,10,Korean Life
친구를 사귀다,to make a friend,10,Korean Life
스키를 타다,to ski,10,Korean Life
게임을 하다,to play a game,10,Korean Life
연습하다,to practice,10,Korean Life
지난달,last month,10,Korean Life
이번 달,this month,10,Korean Life
다음 달,next month,10,Korean Life
화가,painter,10,Korean Life
단풍,fall foliage,10,Korean Life
아름답다,to be beautiful,10,Korean Life
삼계탕,ginseng chicken soup,10,Korean Life
이렇게,like this,10,Korean Life
앞으로,from now on,10,Korean Life
작가,writer,10,Korean Life
어떻다,how is,10,Korean Life
뉴스,news,10,Korean Life
축제,festival,10,Korean Life
식사,meal,10,Korean Life
비행기,plane,11,Transportation
기차,train,11,Transportation
택시,taxi,11,Transportation
버스,bus,11,Transportation
배,boat,11,Transportation
지하철,subway,11,Transportation
지하철역,subway station,11,Transportation
버스 정류장,bus stop,11,Transportation
터미널,terminal,11,Transportation
공항,airport,11,Transportation
내리다,to get off,11,Transportation
타다,to get on,11,Transportation
갈아타다,to transfer,11,Transportation
저쪽,that way,11,Transportation
시청,City Hall,11,Transportation
여의도,Yeouido,11,Transportation
고속터미널,Express Bus Terminal,11,Transportation
경주,Gyeongju,11,Transportation
표,ticket,11,Transportation
예매하다,to book,11,Transportation
알아보다,to look into,11,Transportation
대전,Daejeon,11,Transportation
이번,this,11,Transportation
어떻게,how,11,Transportation
서울역,Seoul Station,11,Transportation
살다,to live,11,Transportation
걸어오다,to walk over,11,Transportation
호선,line number,11,Transportation
걸어가다,to walk,11,Transportation
가깝다,to be near,11,Transportation
멀다,to be far,11,Transportation
걸리다,to take,11,Transportation
기다리다,to wait,11,Transportation
건너편,other side,11,Transportation
건물,building,11,Transportation
박물관,museum,11,Transportation
전시회,exhibition,11,Transportation
이쪽,this way,11,Transportation
그쪽,that way,11,Transportation
저쪽,that way (over there),11,Transportation
왼쪽,left,11,Transportation
오른쪽,right,11,Transportation
걸어서,on foot,11,Transportation
섬진강 기차마을,Seomjingang Train Village,11,Transportation
옛날,long ago,11,Transportation
춘천,Chuncheon,11,Transportation
닭갈비,dakgalbi,11,Transportation
메시지를 보내다,to send a text,12,Telephone
영상 통화,video call,12,Telephone
여보세요,Hello?,12,Telephone
대답,answer,12,Telephone
전화를 받다,to answer the phone,12,Telephone
메시지를 받다,to receive a text,12,Telephone
전화번호,phone number,12,Telephone
찾아보다,to look up,12,Telephone
공,zero,12,Telephone
사무실,office,12,Telephone
잘 지내다,to be fine,12,Telephone
오랜만이에요,Long time no see / talk,12,Telephone
다,all,12,Telephone
건강하다,to be healthy,12,Telephone
괜찮다,to be fine,12,Telephone
통화,call,12,Telephone
나중,later,12,Telephone
이모티콘,emoticon,12,Telephone
준비하다,to prepare,12,Telephone
시험을 보다,to take a test,12,Telephone
점수가 좋다,to score well,12,Telephone
기분이 좋다,to feel good,12,Telephone
친구하고 놀다,to hang out with a friend,12,Telephone
늦잠을 자다,to sleep in,12,Telephone
길이 막히다,to be stuck in traffic,12,Telephone
부탁이 있다,to ask a favor,12,Telephone
죄송하다,to be sorry,12,Telephone
그저께,the day before yesterday,12,Telephone
모레,the day after tomorrow,12,Telephone
퇴근,get off work,12,Telephone
장소,place,12,Telephone
잘못,wrong,12,Telephone
신촌,Sinchon,12,Telephone
할머니,grandmother,12,Telephone
전,before,12,Telephone
몰라요,I don’t know,12,Telephone
그냥,just because,12,Telephone
숫자,number,12,Telephone
발음,pronunciation,12,Telephone
