korean,english
한국,Korea
미국,United States of America
중국,China
일본,Japan
프랑스,France
러시아,Russia
브라질,Brazil
말레이시아,Malaysia
몽골,Mongolia
베트남,Vietnam
나라,country
한국 사람,Korean
미국 사람,American
중국 사람,Chinese
일본 사람,Japanese
프랑스 사람,French
러시아 사람,Russian
브라질 사람,Brazilian
말레이시아 사람,Malaysian
몽골 사람,Mongolian
베트남 사람,Vietnamese
사람,person
저,I (formal)
안녕하세요,Hello
씨,Mr. / Mrs. / Ms. / Miss
(만나서) 반가워요,Nice to meet you
어느,which
네,Yes
인도,India
친구,friend / classmate
호주,Australia
태국,Thailand
선생님,teacher
학생,student
기자,reporter
의사,doctor
배우,actor / actress
대학생,college student
회사원,office worker
가수,singer
프로그래머,programmer
요리사,chef
운동선수,athlete
아니요,No
대학원생,grad(uate) student
제,my (formal)
룸메이트,roommate
이름,name
뭐,what
직업,occupation
메일,email
주소,address
여러분,everyone
교실,classroom
창문,window
컴퓨터,computer
책상,desk
시계,clock
의자,chair
가방,bag
공책,notebook
휴대폰,cell phone
책,book
지우개,eraser
볼펜,ballpoint pen
필통,pencil case
연필,pencil
한국어,Korean (language)
누구,who
한국어로,in Korean
중국어로,in Chinese
그럼,then
집,house
화장실,bathroom
부엌,kitchen
방,room
침대,bed
노트북,laptop
세탁기,washing machine
냉장고,refrigerator
텔레비전,television (TV)
에어컨,air conditioner (AC)
서울대학교,Seoul National University
학교,school
기숙사,dorm(itory)
옷걸이,hanger
여기,here
우리,our
저기,there
소파,sofa
거울,mirror
와이파이,Wi-Fi
음식,food
빵,bread
샌드위치,sandwich
과일,fruit
사과,apple
딸기,strawberry
수박,watermelon
음료수,drink
물,water
우유,milk
커피,coffee
차,tea
주스,juice
어서 오세요,Welcome
케이크,cake
초콜릿,chocolate
빙수,shaved ice
녹차,green tea
아이스크림,ice cream
오렌지,orange
여기 있어요,Here you go
키위,kiwi
햄,ham
가게,store
망고,mango
어디,where
문구점,stationery store
거기,there
앞,front
뒤,back
옆,next
위,top
아래(밑),bottom
안,inside
밖,outside
카페,cafe
편의점,convenience store
강남,Gangnam
바나나,banana
안경,(eye)glasses
보다,to see / look
좋아하다,to like
사다,to buy
아르바이트하다,to work part-time
전화하다,to call
먹다,to eat
만나다,to meet
읽다,to read
일하다,to work
마시다,to drink
공부하다,to study
배우다,to learn
운동하다,to exercise
지금,now
자다,to sleep
하고,with
빵집,bakery
숙제하다,to do homework
같이,together
요리,cooking
오늘,today
병원,hospital
약국,pharmacy
도서관,library
식당,restaurant
우체국,post office
영화관,movie theater
서점,bookstore
공원,park
백화점,department store
회사,company
은행,bank
스포츠 센터,sports center
시장,market
가다,to go
매일,every day
그리고,and
반,class
들,-s / -es / -ies (plural)
오다,to come
명동,Myeong-dong
많이,many
영화,movie
내일,tomorrow
혼자,alone
옷,clothes
쇼핑,shopping
맛있다,to be delicious
맛없다,to not be delicious
재미있다,to be fun
