korean,english
쓰다,to write
끄다,to turn off
아프다,to be hurt / sick
바쁘다,to be busy
예쁘다,to be pretty
나쁘다,to be bad
배고프다,to be hungry
얼굴,face
눈,eye
코,nose
입,mouth
귀,ear
몸,body
머리,head
목,neck
가슴,chest
배,stomach
허리,lower back
다리,leg
손,hand
발,foot
팔,arm
어깨,shoulder
무릎,knee
미안하다,to be sorry
어제저녁,yesterday evening
아까,a minute (moment) ago
왜,why
아직,not yet
감기에 걸리다,to catch a cold
기침을 하다,to cough
열이 나다,to have a fever
콧물이 나오다,to have a runny nose
목이 아프다,to have a sore throat
건강에 좋다,to be good for health
건강에 나쁘다,to be bad for health
손을 씻다,to wash one’s hands
푹 쉬다,to rest up
담배를 피우다,to smoke
다치다,to be injured
처음,first
이름표,name tag
더,more
꼭,be sure to
같다,to be the same
전통,tradition
주다,to give
약,medicine
도와주다,to help
고맙다,to be thankful
회사에 다니다,to work at a company
메일을 보내다,to send an email
메일을 받다,to receive an email
잘하다,to be good at
못하다,to be bad at
계획,plan
오전,am
오후,pm
열심히,diligently
잘,well
제일,most
대학원,grad(uate) school
하루,day
연습,practice
시간,hour(s)
만들다,to make
피아노를 치다,to play the piano
기타를 치다,to play the guitar
자전거를 타다,to ride a bike
그림을 그리다,to paint a painting
작년,last year
올해,this year
내년,next year
친구를 사귀다,to make a friend
스키를 타다,to ski
게임을 하다,to play a game
연습하다,to practice
지난달,last month
이번 달,this month
다음 달,next month
화가,painter
단풍,fall foliage
아름답다,to be beautiful
삼계탕,ginseng chicken soup
이렇게,like this
앞으로,from now on
작가,writer
어떻다,how is
뉴스,news
축제,festival
식사,meal
비행기,plane
기차,train
택시,taxi
버스,bus
지하철,subway
지하철역,subway station
버스 정류장,bus stop
터미널,terminal
공항,airport
내리다,to get off
타다,to get on
갈아타다,to transfer
저쪽,that way
시청,City Hall
여의도,Yeouido
고속터미널,Express Bus Terminal
경주,Gyeongju
표,ticket
예매하다,to book
알아보다,to look into
대전,Daejeon
이번,this
어떻게,how
서울역,Seoul Station
살다,to live
걸어오다,to walk over
호선,line number
걸어가다,to walk
가깝다,to be near
멀다,to be far
걸리다,to take
기다리다,to wait
건너편,other side
건물,building
박물관,museum
전시회,exhibition
이쪽,this way
그쪽,that way
왼쪽,left
오른쪽,right
걸어서,on foot
섬진강 기차마을,Seomjingang Train Village
옛날,long ago
춘천,Chuncheon
닭갈비,dakgalbi
메시지를 보내다,to send a text
영상 통화,video call
여보세요,Hello?
대답,answer
전화를 받다,to answer the phone
메시지를 받다,to receive a text
전화번호,phone number
찾아보다,to look up
공,zero
사무실,office
잘 지내다,to be fine
오랜만이에요,Long time no see / talk
다,all
건강하다,to be healthy
괜찮다,to be fine
통화,call
나중,later
이모티콘,emoticon
준비하다,to prepare
시험을 보다,to take a test
점수가 좋다,to score well
기분이 좋다,to feel good
친구하고 놀다,to hang out with a friend
늦잠을 자다,to sleep in
길이 막히다,to be stuck in traffic
부탁이 있다,to ask a favor
죄송하다,to be sorry
그저께,the day before yesterday
모레,the day after tomorrow
퇴근,get off work
장소,place
잘못,wrong
신촌,Sinchon
할머니,grandmother
전,before
몰라요,I don’t know
그냥,just because
숫자,number
발음,pronunciation
따라 하다,to repeat
또,again
모르다,to not know
물어보다,to ask
키가 크다,to be tall
키가 작다,to be short (height)
길다,to be long
짧다,to be short (length)
높다,to be high
낮다,to be low
멋있다,to be cool
입다,to put on / wear
신다,to slip on / wear
벗다,to take off
세일하다,to be on sale
갑자기,suddenly
옷 가게,clothing store
남대문시장,Namdaemun Market
파티,party
보여 주다,to show
바지,pants
치마,skirt
코트,coat
티셔츠,t-shirt
원피스,dress
한복,hanbok
운동화,sneakers
구두,dress shoes
편하다,to be comfortable
불편하다,to be uncomfortable
두껍다,to be thick
얇다,to be thin
사계절,four seasons
곳,place
팔다,to sell
프로그램,program
양복,suit
남산,Namsan Mountain
초대하다,to invite
축하하다,to congratulate
기쁘다,to be glad
선물을 주다,to give a gift
선물을 받다,to receive a gift
식사하다,to eat
파티하다,to party
양복을 입다,to wear a suit
늦다,to be late
바꾸다,to change
팀,team
이사하다,to move
결혼,wedding
결혼식,wedding ceremony
혼자,alone
함께,together
근처,nearby
춤추다,to dance
친하다,to be close
지내다,to spend (time)
들어오다,to come in
들어가다,to go in
울다,to cry
웃다,to laugh
시작하다,to start
한달,one month
번,time(s)
마트,supermarket
노래하다,to sing
가족,family
할아버지,grandfather
아버지,father
어머니,mother
부모님,parents
형,older brother (male)
누나,older sister (male)
나,I (informal)
오빠,older brother (female)
언니,older sister (female)
동생,younger sibling
남편,husband
아내,wife
아들,son
딸,daughter
이분,this person (formal)
꽃,flower
남동생,younger brother
강릉,Gangneung
특히,especially
중,among
고양이,cat
되다,to become
영상,video
생일,birthday
집,house
이름,name
있다,to be
먹다,to eat
마시다,to drink
자다,to sleep
명,person
나이,age
걷다,to walk
듣다,to hear
생각(을) 하다,to think
수학,mathematics
음악,music
싸우다,to fight
휴가,vacation
보내다,to spend
지난여름,last summer
여권,passport
돈을 바꾸다,to exchange money
돈을 찾다,to withdraw money
출발하다,to depart
도착하다,to arrive
호텔,hotel
보이다,to be seen
빌리다,to rent
돌아오다,to come back
돌아가다,to go back
도와드리다,to help
알겠습니다,okay
호,room number
우산,umbrella
카드 키,card key
수건,towel
나오다,to come out
올레길,Olle Trail
해운대,Haeundae
설악산,Seoraksan Mountain
불국사,Bulguksa Temple
잠깐만,hang on
시내,city (downtown)
한가하다,to be tranquil
조용하다,to be quiet
유명하다,to be famous
특별하다,to be special
복잡하다,to be crowded
안내,guide
적다,to be few
한라산,Hallasan Mountain
한번,try something out
올라가다,to go up
강원도,Gangwon-do
경치,view
생선회,raw fish
고속버스,express bus
케이블카,cable car
다음 날,next day
힘들다,to be tired
편지,letter
기분,feeling
이태원,Itaewon
놀다,to hang out
수영장,pool
