korean,english
저,I (formal)
씨,Mr. / Mrs. / Ms. / Miss
어느,which
친구,friend / classmate / partner
인도,India
호주,Australia
태국,Thailand
안녕하세요,Hello
만나서 반가워요,Nice to meet you
이름,name
뭐,what
직업,occupation
명함,business card
대학원생,grad(uate) student
화가,painter
축구,soccer / football
독일,Germany
네,Yes
아니요,No
영국,England
우산,umbrella
한국어,Korean (language)
한국어로,in Korean
영어로,in English
중국어로,in Chinese
지갑,wallet
사전,dictionary
우리,our
여기,here
남자,man
음식,food
비빔밥,bibimbap
숙제,homework
룸메이트,roommate
교통 카드,transportation card
돈,money
키위,kiwi
오렌지,orange
케이크,cake
카페,cafe
아이스크림,ice cream
메뉴,menu
좀,please
여기 있어요,Here you go
김치,kimchi
휴지,tissue
어디,where
빵집,bakery
서울대학교,Seoul National University
여자,woman
편의점,convenience store
지금,now
광화문,Gwanghwamun
서점,bookstore
강남,Gangnam
안경,(eye)glasses
자다,to sleep
쉬다,to rest
오늘,today
드라마,drama
옷,clothes
미용실,hair salon
가다,to go
오다,to come
고향,hometown
매일,every day
혼자,alone
영화,movie
기숙사,dorm(itory)
고기,meat
라면,ramen
그리고,and
아주,very
초콜릿,chocolate
일본어,Japanese
가르치다,to teach
쇼핑,shopping
언제,when
요리,cooking
모자,hat
시험,test
크리스마스,Christmas
하고,with
운전하다,to drive
방학,(school) break
바다,beach
점심,lunch
모두,all
노래하다,to sing
노래방,noraebang
돌하르방,dolhareubang
제주도,Jeju Island
밤,night
아직,not yet
번,time(s)
보통,usually
밥,rice
쯤,about
회의,meeting
세일,sale
쪽,page
그럼,then
부산,Busan
캠핑장,campsite
자주,often
정말,really
맞다,to be right
그래서,so
들,plural particle
먼저,first
말하다,to speak
싫다,to not like
적다,to be few / little
똑똑하다,to be smart
피곤하다,to be tired
테니스장,tennis court
경복궁,Gyeongbokgung palace
축하하다,to congratulate
어때요,How is it
아까,a minute / moment ago
켜다,to turn on
어땠어요,How was it
요즘,these days
너무,very
심심하다,to be bored
인사동,Insa-dong
앉다,to sit
문제,problem
강아지,puppy
그런데,but
잘,well
